,Enzyme:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH,Keq,Km',Experimental conditions,Ionic strength [molal],Enthalpy [kJ/mol],solutes [mol/dm^3],Buffer:,-log[Mg+2],EC Value:,Method:,Ionic strength [mol/dm^3],solutes [molal]
0, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Quastel J.H.; Woolf B.; Biochem. J.; 20 545 (1926).,26QUA/WOO_1205,16743691,10.1042/bj0200545,310.15,7.4,~0.04, , , , , , phosphate, ,4.3.1.1, chemical analysis, , 
1, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Woolf B.; Biochem. J.; 23 472 (1929).,29WOO_1206,16744231,10.1042/bj0230472,310.15,7.4,0.01, , , , , , phosphate, ,4.3.1.1, chemical analysis and polarimetry, , 
2, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141, , ,298.15,6.81, , , , , , , , ,4.2.1.2, electrochemistry, , 
3, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Borsook H.; Schott H.F.; J. Biol. Chem.; 92 559 (1931).,31BOR/SCH_1141, , ,298.15,7.12, , , , , , , , ,4.2.1.2, electrochemistry, , 
4, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,278.15,6.8, , , , , , , barbital, ,4.2.1.2, polarimetry, , 
5, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,288.15,6.8, , , , , , , barbital, ,4.2.1.2, polarimetry, , 
6, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,298.15,6.8, , , , , , , barbital, ,4.2.1.2, polarimetry, , 
7, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,311.15,6.8, , , , , , , barbital, ,4.2.1.2, polarimetry, , 
8, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Jacobsohn K.P.; Biochem. Z.; 274 167 (1934).,34JAC_1142, , ,327.15,6.8, , , , , , , barbital, ,4.2.1.2, polarimetry, , 
9, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,273.15, , , , , , , , , ,4.2.1.11, chemical analysis, , 
10, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,293.15, , , , , , , , , ,4.2.1.11, chemical analysis, , 
11, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,313.15, , , , , , , , , ,4.2.1.11, chemical analysis, , 
12, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Lohman K.; Meyerhof O.; Biochem. Z.; 273 60 (1934).,34LOH/MEY_1169, , ,333.15, , , , , , , , , ,4.2.1.11, chemical analysis, , 
13, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,266.15,7,0.00018, , , , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
14, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,273.15,7,0.00030, , , , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
15, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,293.15,7,0.0015, , , , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
16, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,333.15,7,0.013, , , , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
17, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1100, , ,343.15,7,0.022, , , , , , , ,4.1.2.13 & 4.1.2.13, spectrophotometry, , 
18, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288, , ,266.15,7,0.00018, , , , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
19, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288, , ,273.15,7,0.00030, , , , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
20, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288, , ,293.15,7,0.0015, , , , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
21, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288, , ,333.15,7,0.013, , , , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
22, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 271 89 (1934).,34MEY/LOH_1288, , ,343.15,7,0.022, , , , , , , ,5.3.1.1 & 5.3.1.1, spectrophotometry, , 
23, phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Akano R.; Biochem. Z.; 280 110 (1935).,35AKA_1170, , ,301.15, , , , , , , , , ,4.2.1.11, , , 
24, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207, , ,278.15,7.0,0.0024, , , , , , barbital, ,4.3.1.1, polarimetry and chemical analysis, , 
25, aspartate ammonia-lyase, L-aspartate(aq) = fumarate(aq) + ammonia(aq),Jacobsohn K.P.; Tapadinhas J.; Biochem. Z.; 282 374 (1935).,35JAC/TAP_1207, , ,310.15,7.0,0.0076, , , , , , barbital, ,4.3.1.1, polarimetry and chemical analysis, , 
26, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385, , ,273.15, , , , , , , , , ,5.4.2.1, polarimetry, , 
27, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385, , ,301.15, , , , , , , , , ,5.4.2.1, polarimetry, , 
28, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385, , ,311.15, , , , , , , , , ,5.4.2.1, polarimetry, , 
29, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385, , ,333.15, , , , , , , , , ,5.4.2.1, polarimetry, , 
30, phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386, , ,301.15, , , , , , , , , ,5.4.2.1, polarimetry, , 
31, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102, , ,293.15, , , , , ,58, , phosphate, ,4.1.2.13 & 4.1.2.13, calorimetry, , 
32, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102, , ,313.15, , , , , ,64, , phosphate, ,4.1.2.13 & 4.1.2.13, calorimetry, , 
33, triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290, , ,293.15, , , , , ,58, , phosphate, ,5.3.1.1 & 5.3.1.1, calorimetry, , 
