,pmid,doi_from_pubmed,year,authors,abstract,reference_code,doi_from_Robert,reference_code_in_online_database
0,1629208,,1992,"Teague W E, Dobson G P","The effect of temperature on the apparent equilibrium constant of creatine kinase (ATP:creatine N-phosphotransferase (EC 2.7.3.2)) was determined. At equilibrium the apparent K' for the biochemical reaction was defined as [formula: see text] The symbol sigma denotes the sum of all the ionic and metal complex species of the reactant components in M. The K' at pH 7.0, 1.0 mM free Mg2+, and ionic strength of 0.25 M at experimental conditions was 177 +/- 7.0, 217 +/- 11, 255 +/- 10, and 307 +/- 13 (n = 8) at 38, 25, 15, and 5 degrees C, respectively. The standard apparent enthalpy or heat of the reaction at the specified conditions (delta H' degree) was calculated from a van't Hoff plot of log10K' versus 1/T, and found to be -11.93 kJ mol-1 (-2852 cal mol-1) in the direction of ATP formation. The corresponding standard apparent entropy of the reaction (delta S' degree) was +4.70 J K-1 mol-1. The linear function (r2 = 0.99) between log10 K' and 1/K demonstrates that both delta H' degree and delta S' degree are independent of temperature for the creatine kinase reaction, and that delta Cp' degree, the standard apparent heat capacity of products minus reactants in their standard states, is negligible between 5 and 38 degrees C. We further show from our data that the sign and magnitude of the standard apparent Gibbs energy (delta G' degree) of the creatine kinase reaction was comprised mostly of the enthalpy of the reaction, with 11% coming from the entropy T delta S' degree term. The thermodynamic quantities for the following two reference reactions of creatine kinase were also determined. [formula: see text] The delta H degree for Reaction 2 was -16.73 kJ mol-1 (-3998 cal mol-1) and for Reaction 3 was -23.23 kJ mol-1 (-5552 cal mol-1) over the temperature range 5-38 degrees C. The corresponding delta S degree values for the reactions were +110.43 and +83.49 J K-1 mol-1, respectively. Using the delta H' degree of -11.93 kJ mol-1, and one K' value at one temperature, a second K' at a second temperature can be calculated, thus permitting bioenergetic investigations of organs and tissues using the creatine kinase equilibria over the entire physiological temperature range.",92TEA/DOB,,92TEA/DOB_604
1,1527498,,1992,"Kahle C, Schneider K H, Giffhorn F","The phototrophic bacterium Rhodobacter sphaeroides strain Si4 induced ribitol dehydrogenase (EC 1.1.1.56) when grown on ribitol- or xylitol-containing medium. This ribitol dehydrogenase was purified to apparent homogeneity by ammonium sulphate precipitation, affinity chromatography on Procion red, and chromatography on Q-Sepharose. For the native enzyme an isoelectric point of pH 6.1 and an apparent M(r) of 50,000 was determined. SDS-PAGE yielded a single peptide band of M(r) 25,000 suggesting a dimeric enzyme structure. The ribitol dehydrogenase was specific for NAD+ but unspecific as to its polyol substrate. In order of decreasing activity ribitol, xylitol, erythritol, D-glucitol and D-arabitol were oxidized. The pH optimum of substrate oxidation was 10, and that of substrate reduction was 6.5. The equilibrium constant of the interconversion of ribitol to D-ribulose was determined to be 0.33 nM at pH 7.0 and 25 degrees C. The Km-values determined for ribitol, ribulose, xylitol and NAD+ (in the presence of ribitol) were 6.3, 12.5, 77 and 0.077 mM, respectively. Because of the favourable Km for ribitol, a method for quantitative ribitol determination was elaborated.",92KAH/SCH,10.1099/00221287-138-6-1277 ,92KAH/SCH_189
2,1633258,,1992,"Wang Y, Chen C H","The activity of acetylcholinesterase (AChE) in acetylcholine receptor (AChR)-enriched membrane vesicles isolated from electric organ of Torpedo californica exhibited a biphasic response to ethanol action. Below an ethanol concentration of 35 mM, AChE activity increased with increasing concentration of ethanol. At ethanol concentrations greater than 35 mM, the activity was found to decrease montonically. In contrast, ethanol (35-400 mM) increased the activity of soluble AChE. This biphasic behavior was consistent with the proposed important role of ethanol-membrane interaction. Microcalorimetric measurements revealed that the enthalpy change in acetylcholine (ACh) hydrolysis reaction was 586 J/mol in association with membrane-bound AChE in AChR-enriched membrane vesicles, as compared to -544 J/mol with the isolated soluble AChE. This discrepancy was attributed to the presence of membranes. Unlike its action on the enzyme activity, ethanol did not affect enthalpy change in ACh hydrolysis reaction catalyzed by either membrane-bound or soluble AChE. Comparison of results on activity and heat measurements suggested that the interaction of ethanol with membrane vesicles was nonspecific with no ethanol-induced membrane structural or conformational change.",92WAN/CHE,10.1016/0301-4622(92)80041-3,92WAN/CHE_747
3,1540130,,1992,"Elliott A C, K S, Sinnott M L, Smith P J, Bommuswamy J, Guo Z, Hall B G, Zhang Y","1. The ratio of ebgA-gene product of ebgC-gene product in the functional aggregate of ebg beta-galactosidases was determined to be 1:1 by isolation of the enzyme from bacteria grown on uniformly radiolabelled amino acids and separation of the subunits by gel-permeation chromatography under denaturing conditions. 2. This datum, taken together with a recalculation of the previous ultracentrifuge data [Hall (1976) J. Mol. Biol. 107, 71-84], analytical gel-permeation chromatography and electron microscopy, strongly suggests an alpha 4 beta 4 quaternary structure for the enzyme. 3. The second chemical step in the enzyme turnover sequence, hydrolysis of the galactosyl-enzyme intermediate, is markedly slower for ebgab, having both Asp-97----Asn and Trp-977----Cys changes in the large subunit, than for ebga (having only the first change) and ebgb (having only the second), and is so slow as to be rate-determining even for an S-glycoside, beta-D-galactopyranosyl thiopicrate, as is shown by nucleophilic competition with methanol. 4. The selectivity of galactosyl-ebgab between water and methanol on a molar basis is 57, similar to the value for galactosyl-ebgb. 5. The equilibrium constant for the hydrolysis of lactose at 37 degrees C is 152 +/- 19 M, that for hydrolysis of allolactose is approx. 44 M and that for hydrolysis of lactulose is approx. 40 M. 6. A comparison of the free-energy profiles for the hydrolyses of lactose catalysed by the double mutant with those for the wild-type and the single mutants reveals that free-energy changes from the two mutations are not in general independently additive, but that the changes generally are in the direction predicted by the theory of Burbaum, Raines, Albery & Knowles [(1989) Biochemistry 28, 9283-9305] for an enzyme catalysing a thermodynamically irreversible reaction. 7. Michaelis-Menten parameters for the hydrolysis of six beta-D-galactopyranosylpyridinium ions and ten aryl beta-galactosides by ebgab were measured. 8. The derived beta 1g values are the same as those for ebgb (which has only the Trp-977----Cys change) and significantly different from those for ebgo (the wild-type enzyme) and ebga. 9. The alpha- and beta-deuterium secondary isotope effects on the hydrolysis of the galactosyl-enzyme of 1.08 and 1.00 are difficult to reconcile with the pyranose ring in this intermediate being in the 4C1 conformation.",92ELL/SRI,10.1042/bj2820155,92ELL/SRI_936
4,1653014,,1991,"Morin P E, Freire E","The kinetic and thermodynamic parameters associated with the enzymatic reaction of yeast cytochrome c oxidase with its biological substrate, ferrocytochrome c, have been measured by using a titration microcalorimeter to monitor directly the rate of heat production or absorption as a function of time. This technique has allowed determination of both the energetics and the kinetics of the reaction under a variety of conditions within a single experiment. Experiments performed in buffer systems of varying ionization enthalpies allow determination of the net number of protons absorbed or released during the course of the reaction. For cytochrome c oxidase the intrinsic enthalpy of reaction was determined to be -16.5 kcal/mol with one (0.96) proton consumed for each ferrocytochrome c molecule oxidized. Activity measurements at salt concentrations ranging from 0 to 200 mM KCl in the presence of 10 mM potassium phosphate, pH 7.40, and 0.5 mM EDTA display a biphasic dependence of the electron transferase activity upon ionic strength with a peak activity observed near 50 mM KCl. The ionic strength dependence was similar for both detergent-solubilized and membrane-reconstituted cytochrome c oxidase. Despite the large ionic strength dependence of the kinetic parameters, the enthalpy measured for the reaction was found to be independent of ionic strength. Additional experiments involving direct transfer of the enzyme from low to high salt conditions produced negligible enthalpy changes that remained constant within experimental error throughout the salt concentrations studied (0-200 mM KCl). These results indicate that the salt effect on the enzyme activity is of entropic origin and further suggest the absence of a major conformational change in the enzyme due to changes in ionic strength.(ABSTRACT TRUNCATED AT 250 WORDS)",91MOR/FRE,10.1021/bi00098a030,91MOR/FRE_329
5,1646815,,1991,"Liu F, Fromm H J","The enzymatic hydrolysis of fructose 1,6-bisphosphate (Fru-1,6-P2) to fructose 6-phosphate (Fru-6-P) and inorganic phosphate (Pi), which is catalyzed by fructose-1,6-bisphosphatase, has been studied by 31P nuclear magnetic resonance spectroscopy (NMR). At pH 7.5 and 15 degrees C, the equilibrium constant for the central complex K'eq = [E.Fru-6-P.Pi]/[E.Fru-1,6-P2.H2O] is about 2. This observation is in harmony with results obtained with a number of Bi Bi enzyme systems for the determination of K'eq in which a variety of experimental techniques were used (Knowles, J.R. (1980) Annu. Rev. Biochem. 49, 877-919). Significant changes in 31P NMR chemical shifts were observed for both the substrate, Fru-1,6-P2, and the product, Fru-6-P, when bound to the enzyme relative to ligand free in solution. The chemical shifts of the substrate and product were altered further in the presence of Mg2+, the catalytic divalent metal ion. The chemical shifts caused by the addition of metal ion can be reversed in the presence of trans-1,2-diaminocyclohexane- N,N,N',N'-tetraacetic acid (CDTA) or AMP. In the presence of the metal ion chelator or the nucleotide, the substrate had a chemical shift that was about the same as that observed in the absence of metal ion. On the basis of these observations we suggest that AMP and CDTA exhibit similar effects, i.e. they both remove the catalytic metal ion from the enzyme. This finding is supportive of the suggestion (Scheffler, J. E., and Fromm, H.J. (1986) Biochemistry 25, 6659-6665; Liu, F., and Fromm, H.J. (1990) J. Biol. Chem. 265, 7401-7406) that the role of AMP in the regulation of fructose-1,6-bisphosphatase is to prevent binding of the divalent metal activator to the enzyme.",91LIU/FRO,,91LIU/FRO_832
6,1827991,,1991,"Sem D S, Cleland W W","A number of phosphorylated aminosugars have been prepared and tested as substrates for metabolic reactions. 6-Aminoglucose is a slow substrate for yeast hexokinase with a Vmax that is only 0.012% that for glucose. While Vmax is pH independent, V/K decreases below the pK of 9.0 of the amino group. 6-Aminoglucose is a competitive inhibitor vs glucose with a Ki value increasing below the pK of 9 but leveling off at 33 mM below pH 7.16. Thus, protonation decreases binding affinity by 2.4 kcal/mol and only the neutral amine is catalytically competent. 6-Aminoglucose-6-P was synthesized enzymatically with hexokinase. Its pK's determined by 31P NMR were 2.46 and 8.02 (alpha anomer) and 2.34 and 7.85 (beta anomer), with a beta:alpha ratio of 3.0. It is most stable at pH 12 (half-life 228 h at 22 degrees C), while as a monoanion its half-life is 3 h. The free energy of hydrolysis at 25 degrees C and pH 9.25 is -10.3 kcal/mol. The phosphorylated amino analogues of 6-P-gluconate, ribulose-5-P, fructose-6-P, fructose-1,6-bis-P (amino group at C-6 only), and glyceraldehyde-3-P were synthesized enzymatically. The 31P NMR chemical shifts of these analogues are 8-8.5 ppm at pH 9.5. Their relative stability is 6-aminogluconate-6-P greater than 3-aminoglyceraldehyde-3-P greater than 6-aminoglucose-6-P greater than 6-aminofructose-1,6-bis-P congruent to 6-aminofructose-6-P greater than 5-aminoribulose-5-P. These analogues were tested as substrates for their respective enzymes.(ABSTRACT TRUNCATED AT 250 WORDS)",91SEM/CLE,10.1021/bi00234a020,91SEM/CLE_542
7,1645186,,1991,"Knight W B, Sem D S, Smith K, Miziorko H M, Rendina A R, Cleland W W","A number of phosphorylated thiosugars have been prepared and tested as substrates for metabolic reactions. 6-Thioglucose-6-P is readily synthesized by reaction of 6-tosylglucose with trisodium thiophosphate at pH 10 in aqueous solution; the product has only sulfur between carbon and phosphorus. When ethyl glycerate is tosylated and treated similarly with thiophosphate, a 5:1 mixture of 3-thioglycerate-3-P and the 2-isomer is formed. 6-Thioglucose-6-P is converted by glycolytic enzymes to triose phosphates, 3-thioglycerol-3-P and 3-thioglycerate-3-P, and is oxidized by enzymes of the hexose monophosphate shunt to 5-thioribulose-5-P, which can be converted via phosphoribulokinase and ribulose-bis-P carboxylase into 3-P-glycerate and 3-thioglycerate-3-P. For most of the non-phosphoryl-transferring enzymes there are only moderate effects on Vmax and Km. Phosphoglucoisomerase, however, is very sensitive to the sulfur for oxygen change, with Vmax decreasing 60-fold and Km increasing 15-fold. Surprisingly, phosphoribulokinase has a V/K value for 5-thioribulose-5-P that is over 3 orders of magnitude less than for ribulose-5-P. 6-Thio-glucose-6-P was found to be a substrate for several enzymes that transfer the phosphoryl group. It is as good a substrate for alkaline phosphatase as glucose-6-P, and with phosphoglucomutase it is converted to 6-thioglucose-1-P with a rate that is 11% of the rate of reaction of glucose-1-P, with a Keq value of 45.6. The free energy of hydrolysis of the phosphorylated thiol is thus -7.2 kcal/mol at pH 7.(ABSTRACT TRUNCATED AT 250 WORDS)",91KNI/SEM,10.1021/bi00234a019,91KNI/SEM_1406
8,1873475,,1991,"Srinivasan R, Nambi P","Delta 1-Piperidine 2-carboxylic acid, an alpha-imino acid, is reduced by 1,4-dihydropyridines to pipecolic acid, an alpha-amino acid, and the corresponding pyridinium ions. This nonenzymatic reaction occurs only in the direction of pipecolic acid production. Glutamate dehydrogenase catalyzes this reaction when the reductant is NADPH and gives as products L-pipecolic acid and NADP+. The reaction velocity for the enzyme-catalyzed reaction is measurable in either direction. The pH-independent equilibrium constant, Keq, for the reduction of the imino acid by NADPH to give pipecolic acid anion and NADP+ was determined from the equilibrium conditions and the pKa values of pipecolic acid (10.72) and of the cyclic imino acid (8.10). The value of Keq was found to be 175 +/- 30; the values of delta G0, delta H0 and delta S0 are -3.1 +/- 0.1 kcal/mol, 5 +/- 1 kcal/mol and 27 +/- 4 e.u., respectively. The data indicate that the reactants are far more solvated than the products and that there must be a large degree of solvent reorganization during the course of the reaction. If these thermodynamic parameters apply to the redox step of the enzyme-catalyzed glutamate reaction, then the burst phase which results upon mixing the enzyme, L-glutamate and NADP+ in stoichiometric amounts must contain a hidden nonredox step of large delta H0 value to account for the curved Arrhenius plot observed for this phase (A.H. Colen, R.T. Medary and H.F. Fisher, Biopolymers 20 (1981) 879).",91SRI/NAM,10.1016/0301-4622(91)85032-l,91SRI/NAM_308
9,1873473,,1991,"Goldberg R N, Bell D, Tewari Y B, McLaughlin M A","Microcalorimetry has been used to determine enthalpy changes for the hydrolysis of a series of oligosaccharides. High-pressure liquid chromatography was used to determine the extents of reaction and to check for any possible side reactions. The enzyme glucan 1,4-alpha-glucosidase was used to bring about the following hydrolysis reactions: (A) maltose(aq) + H2O(liq) = 2D-glucose(aq); (B) maltotriose(aq) + 2H2O(liq) = 3D-glucose(aq); (C) maltotetraose(aq) + 3H2O(liq) = 4D-glucose(aq); (D) maltopentaose(aq) + 4H2O(liq) = 5D-glucose(aq); (E) maltohexaose(aq) + 5H2O(liq) = 6D-glucose(aq); (F) maltoheptaose(aq) + 6H2O(liq) = 7D-glucose(aq); (G) amylose(aq) + nH2O(liq) = (n + 1) D-glucose(aq); and (H) panose(aq) + 2H2O(liq) = 3D-glucose(aq); (J) isomaltotriose(aq) + 2H2O(liq) = 3D-glucose(aq). The enzyme beta-fructofuranosidase was used for the reactions: (K) raffinose(aq) + H2O(liq) = alpha-D-melibiose(aq) + D-fructose(aq); and (L) stachyose(aq) + H2O(liq) = o-alpha-D-galactopyranosyl-(1----6)- alpha-o-D-galactopyranosyl-(1----6)-alpha-D-glucopyranose + D-fructose(aq). The results of the calorimetric measurements (298.15 K, 0.1 M sodium acetate buffer, pH 4.44-6.00) are: delta H0A = -4.55 +/- 0.10, delta H0B = -9.03 +/- 0.10, delta H0C = -13.79 +/- 0.15, delta H0D = -18.12 +/- 0.10, delta H0E = -22.40 +/- 0.15, delta H0F = -26.81 +/- 0.20, delta H0H = 1.46 +/- 0.40, delta H0J = 11.4 +/- 2.0, delta H0K = -15.25 +/- 0.20, and delta H0L = -14.93 +/- 0.20 kJ mol-1. The enthalpies of hydrolysis of two different samples of amylose were 1062 +/- 20 and 2719 +/- 100 kJ mol-1, respectively.(ABSTRACT TRUNCATED AT 250 WORDS)",91GOL/BEL,10.1016/0301-4622(91)85030-t,91GOL/BEL_941
